,N,hit_rate,Algorithm
54,55,0.5320786997433704,Algorithm 2
55,56,0.5346449957228401,Algorithm 2
56,57,0.5355004277159966,Algorithm 2
57,58,0.5372112917023096,Algorithm 2
58,59,0.5380667236954663,Algorithm 2
59,60,0.5389221556886228,Algorithm 2
60,61,0.5397775876817793,Algorithm 2
61,62,0.5406330196749358,Algorithm 2
62,63,0.542343883661249,Algorithm 2
63,64,0.5431993156544055,Algorithm 2
64,65,0.5431993156544055,Algorithm 2
65,66,0.5431993156544055,Algorithm 2
66,67,0.544054747647562,Algorithm 2
67,68,0.544054747647562,Algorithm 2
68,69,0.5474764756201882,Algorithm 2
69,70,0.5483319076133447,Algorithm 2
70,71,0.5508982035928144,Algorithm 2
71,72,0.5551753635585971,Algorithm 2
72,73,0.5568862275449101,Algorithm 2
73,74,0.5577416595380668,Algorithm 2
74,75,0.5585970915312233,Algorithm 2
75,76,0.5603079555175363,Algorithm 2
76,77,0.561163387510693,Algorithm 2
77,78,0.561163387510693,Algorithm 2
78,79,0.5620188195038495,Algorithm 2
79,80,0.562874251497006,Algorithm 2
80,81,0.5637296834901625,Algorithm 2
81,82,0.5637296834901625,Algorithm 2
82,83,0.564585115483319,Algorithm 2
83,84,0.564585115483319,Algorithm 2
84,85,0.5654405474764757,Algorithm 2
85,86,0.5654405474764757,Algorithm 2
86,87,0.5654405474764757,Algorithm 2
87,88,0.5662959794696322,Algorithm 2
88,89,0.5662959794696322,Algorithm 2
89,90,0.5671514114627887,Algorithm 2
90,91,0.5688622754491018,Algorithm 2
91,92,0.5688622754491018,Algorithm 2
92,93,0.5688622754491018,Algorithm 2
93,94,0.5705731394354149,Algorithm 2
94,95,0.572284003421728,Algorithm 2
95,96,0.572284003421728,Algorithm 2
96,97,0.5731394354148845,Algorithm 2
97,98,0.5739948674080411,Algorithm 2
98,99,0.5748502994011976,Algorithm 2
99,100,0.5765611633875107,Algorithm 2
